clause,law_name,content
《广东省健康医疗数据安全分类分级管理技术规范》1 范围,《广东省健康医疗数据安全分类分级管理技术规范》,规定健康医疗数据安全分类与分级的总体要求与适用边界,适用于医疗机构、监管部门及第三方评估机构开展分类分级和保护工作。
《广东省健康医疗数据安全分类分级管理技术规范》2 规范性引用文件,《广东省健康医疗数据安全分类分级管理技术规范》,列举与本规范配套的国家及行业标准,作为术语、流程与技术要求的引用依据,涉及个人信息保护、网络安全与医疗数据安全等标准。
《广东省健康医疗数据安全分类分级管理技术规范》3 术语和定义,《广东省健康医疗数据安全分类分级管理技术规范》,对核心概念进行统一界定,为后续分类分级与安全要求提供一致的语义基础与适用边界。
《广东省健康医疗数据安全分类分级管理技术规范》3.1 个人健康医疗信息,《广东省健康医疗数据安全分类分级管理技术规范》,指能单独或与其他信息结合识别自然人或反映其健康状况的数据,包括病史、诊疗记录、检查检验结果、基因与可穿戴设备采集数据等。
《广东省健康医疗数据安全分类分级管理技术规范》3.2 健康医疗信息,《广东省健康医疗数据安全分类分级管理技术规范》,包括个人健康医疗信息及其加工处理后形成的与健康相关信息,如人口健康监测与公共卫生统计数据。
《广东省健康医疗数据安全分类分级管理技术规范》3.3 个人健康医疗信息主体,《广东省健康医疗数据安全分类分级管理技术规范》,指上述信息所标识或关联的特定自然人,享有知情、决定、访问、更正与安全保障等权利。
《广东省健康医疗数据安全分类分级管理技术规范》3.4 公共卫生数据,《广东省健康医疗数据安全分类分级管理技术规范》,与群体健康与公共事务相关的数据,具有涉众面广、影响面大的特点,部分场景可能构成重要数据甚至国家核心数据。
《广东省健康医疗数据安全分类分级管理技术规范》3.5 健康医疗信息控制者,《广东省健康医疗数据安全分类分级管理技术规范》,对健康医疗信息处理的目的、方式与范围作出决定的组织或个人,如医疗机构、医保机构、科研机构等,对安全与合规承担主要责任。
《广东省健康医疗数据安全分类分级管理技术规范》3.6 缩略语,《广东省健康医疗数据安全分类分级管理技术规范》,列明本规范常用技术与管理缩写(如HIS、EDC、GCP、VPN等),用于标准内的统一表述。
《广东省健康医疗数据安全分类分级管理技术规范》4 数据分类分级原则,《广东省健康医疗数据安全分类分级管理技术规范》,提出合法合规、综合性、规范性、可执行性、稳定性、明确性、时效性、自主性、就高不就低、关联叠加效应等原则,指导分类分级全过程。
《广东省健康医疗数据安全分类分级管理技术规范》5 分类分级流程,《广东省健康医疗数据安全分类分级管理技术规范》,给出组织与制度保障、资源梳理、目录建立、分类与分级、标识与清单形成及结果应用、监督改进的完整流程。
《广东省健康医疗数据安全分类分级管理技术规范》5.1 建立数据分类分级组织保障,《广东省健康医疗数据安全分类分级管理技术规范》,明确最高责任人与牵头部门、实施部门与支持团队,建立跨业务与技术的协同机制与职责分工。
《广东省健康医疗数据安全分类分级管理技术规范》5.2 建立数据分类分级制度保障,《广东省健康医疗数据安全分类分级管理技术规范》,制定总体制度、配套规范、绩效考评与清单修订机制,形成闭环管理,确保持续运行。
《广东省健康医疗数据安全分类分级管理技术规范》5.3 数据资源梳理,《广东省健康医疗数据安全分类分级管理技术规范》,全面识别数据表、数据项与非结构化文件,记录来源、位置、数量、保存期限、处理用途与对外提供情况,形成台账。
《广东省健康医疗数据安全分类分级管理技术规范》5.4 建立数据资源目录,《广东省健康医疗数据安全分类分级管理技术规范》,以业务域为单元编制目录,统一命名与编码,描述数据含义与关系,为分类分级与共享使用打基础。
《广东省健康医疗数据安全分类分级管理技术规范》5.5 对数据资源分类,《广东省健康医疗数据安全分类分级管理技术规范》,依据内容属性、敏感性、涉众范围、应用场景等维度进行分类,区分个人信息、敏感个人信息、公共卫生与管理数据等类别。
《广东省健康医疗数据安全分类分级管理技术规范》5.6 对数据资源分级,《广东省健康医疗数据安全分类分级管理技术规范》,按泄露、篡改、不可用对个人、组织与社会的影响程度判定保护等级,等级越高要求越严,坚持“就高不就低”。
《广东省健康医疗数据安全分类分级管理技术规范》5.7 数据分类分级标识,《广东省健康医疗数据安全分类分级管理技术规范》,对数据及其载体进行可识别标识(如元数据标签、目录标注),在采集、存储、调用、共享与销毁各环节体现等级。
《广东省健康医疗数据安全分类分级管理技术规范》5.8 建立数据分类分级清单,《广东省健康医疗数据安全分类分级管理技术规范》,形成清单化成果,包含数据项/集名称、类别、等级、责任人、保存期限、共享范围与管控措施,并滚动更新。
《广东省健康医疗数据安全分类分级管理技术规范》6 数据分类分级方法,《广东省健康医疗数据安全分类分级管理技术规范》,规定分类与分级的判定思路与步骤,与流程章节配合用于落地实施。
《广东省健康医疗数据安全分类分级管理技术规范》6.1 数据分类方法,《广东省健康医疗数据安全分类分级管理技术规范》,围绕“内容—场景—影响”三类因素结合,按语义属性与业务用途划分类别,并处理跨域数据的关联叠加问题。
《广东省健康医疗数据安全分类分级管理技术规范》6.2 数据分级方法,《广东省健康医疗数据安全分类分级管理技术规范》,依据对个人权益、机构运行与社会秩序影响的严重程度,设置分级阈值与判定规则,在边界不清时从严确定等级。
《广东省健康医疗数据安全分类分级管理技术规范》7 数据分级安全保护要求,《广东省健康医疗数据安全分类分级管理技术规范》,给出分级对应的管理与技术控制总体框架,强调全生命周期安全与最小必要原则。
《广东省健康医疗数据安全分类分级管理技术规范》7.1 总体要求,《广东省健康医疗数据安全分类分级管理技术规范》,统一规划与分层防护,落实责任到岗到人;建立访问控制、身份鉴别、日志审计、备份恢复与应急响应等基础能力,并与分级结果联动。
《广东省健康医疗数据安全分类分级管理技术规范》7.2 数据分级安全保护具体要求,《广东省健康医疗数据安全分类分级管理技术规范》,按等级细化措施:低等级采取基本访问控制与审计;中等级增加加密、脱敏、审批与最小化;高等级实施强访问控制与网络隔离、全流程加密、防篡改存储与多方联动响应。
《广东省健康医疗数据安全分类分级管理技术规范》附录A.1 基本身份信息,《广东省健康医疗数据安全分类分级管理技术规范》,包括姓名、性别、出生日期、身份证号、联系方式、住址等,属个人健康医疗信息。
《广东省健康医疗数据安全分类分级管理技术规范》附录A.2 就诊记录信息,《广东省健康医疗数据安全分类分级管理技术规范》,包括门诊病历、住院病历、处方、医嘱、病程记录、出院小结等,属个人健康医疗信息。
《广东省健康医疗数据安全分类分级管理技术规范》附录A.3 检查检验信息,《广东省健康医疗数据安全分类分级管理技术规范》,包括影像检查、实验室检验结果、病理检查报告等,属敏感个人健康医疗信息。
《广东省健康医疗数据安全分类分级管理技术规范》附录A.4 特殊人群信息,《广东省健康医疗数据安全分类分级管理技术规范》,包括孕产妇、儿童、老年人、残障人士、传染病患者等群体相关信息,属重点保护信息。
《广东省健康医疗数据安全分类分级管理技术规范》附录A.5 基因与分子水平信息,《广东省健康医疗数据安全分类分级管理技术规范》,包括基因测序、基因型、分子标记数据,属高度敏感个人信息。
《广东省健康医疗数据安全分类分级管理技术规范》附录A.6 可穿戴设备与互联网医疗数据,《广东省健康医疗数据安全分类分级管理技术规范》,包括运动轨迹、心率、血糖、远程诊疗记录等,属个人健康医疗信息。
《广东省健康医疗数据安全分类分级管理技术规范》附录A.7 公共卫生数据,《广东省健康医疗数据安全分类分级管理技术规范》,包括传染病监测数据、疫苗接种数据、突发公共卫生事件报告,属公共卫生数据。
《广东省健康医疗数据安全分类分级管理技术规范》附录A.8 行政管理数据,《广东省健康医疗数据安全分类分级管理技术规范》,包括医保结算、医疗服务统计、机构运行信息,属管理类数据。
《广东省健康医疗数据安全分类分级管理技术规范》附录B.1 一级数据示例,《广东省健康医疗数据安全分类分级管理技术规范》,一般化的汇总统计数据,如不含身份标识的门诊总量统计,泄露影响极小。
《广东省健康医疗数据安全分类分级管理技术规范》附录B.2 二级数据示例,《广东省健康医疗数据安全分类分级管理技术规范》,包含有限个人属性的就诊信息,泄露会对个人产生有限影响,如部分去标识化门诊记录。
《广东省健康医疗数据安全分类分级管理技术规范》附录B.3 三级数据示例,《广东省健康医疗数据安全分类分级管理技术规范》,敏感个人健康信息如检验结果、影像资料,泄露可能造成个人歧视或组织信任受损。
《广东省健康医疗数据安全分类分级管理技术规范》附录B.4 四级数据示例,《广东省健康医疗数据安全分类分级管理技术规范》,特殊人群健康信息或大规模人群数据,泄露可能危害社会秩序或公共利益。
《广东省健康医疗数据安全分类分级管理技术规范》附录B.5 五级数据示例,《广东省健康医疗数据安全分类分级管理技术规范》,国家重点人群基因信息、传染病疫情原始数据等,泄露可能严重危害国家安全。
